time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,apparent_temperature,windgusts_10m,weathercode
2024-01-01T00:00,0,85,0.1,30.4,-6.9,44.3,71
2024-01-01T01:00,0.1,86,0.1,30.1,-6.7,44.6,71
2024-01-01T02:00,0.4,85,0.1,27.8,-6.1,43.6,71
2024-01-01T03:00,0.2,85,0,25.4,-6,40,3
2024-01-01T04:00,-0.3,85,0,23.1,-6.2,36.4,3
2024-01-01T05:00,-1.1,86,0,23.4,-7.1,33.5,3
2024-01-01T06:00,-1.5,86,0,23.4,-7.5,33.8,3
2024-01-01T07:00,-1.4,81,0,20.9,-7.2,32.4,3
2024-01-01T08:00,-1.9,80,0,18.3,-7.3,29.5,1
2024-01-01T09:00,-1.7,78,0,16.1,-6.9,26.3,0
2024-01-01T10:00,-0.9,73,0,14.5,-5.9,25.2,0
2024-01-01T11:00,-0.2,67,0,13.3,-5,24.1,0
2024-01-01T12:00,0.3,62,0,11.8,-4.3,23.4,1
2024-01-01T13:00,1,60,0,14.5,-4,24.8,2
2024-01-01T14:00,1,59,0,14.8,-4.1,25.2,0
2024-01-01T15:00,0.7,58,0,14.4,-4.3,24.5,0
2024-01-01T16:00,-0.3,66,0,13.3,-5.1,22.3,0
2024-01-01T17:00,-1.7,72,0,12.4,-6.4,18.4,0
2024-01-01T18:00,-2.6,75,0,11.4,-7.2,16.6,0
2024-01-01T19:00,-2.1,72,0,12.9,-7,18,3
2024-01-01T20:00,-2.2,73,0,16.1,-7.5,22.7,3
2024-01-01T21:00,-2.7,75,0,17.4,-8.2,24.5,3
2024-01-01T22:00,-3,76,0,18.1,-8.6,25.2,1
2024-01-01T23:00,-3.5,77,0,17.9,-9.1,25.6,1
2024-01-02T00:00,-4,79,0,18.9,-9.8,26.3,0
2024-01-02T01:00,-4.5,81,0,17.6,-10.1,27,0
2024-01-02T02:00,-4.8,82,0,16.9,-10.3,24.8,0
2024-01-02T03:00,-5,83,0,16.3,-10.4,24.1,0
2024-01-02T04:00,-5,84,0,16.9,-10.5,23.8,0
2024-01-02T05:00,-4.9,85,0,17.6,-10.5,24.8,0
2024-01-02T06:00,-4.9,86,0,17.4,-10.4,24.8,0
2024-01-02T07:00,-4.9,88,0,18.1,-10.5,24.8,0
2024-01-02T08:00,-4.3,85,0,21.3,-10.4,29.5,0
2024-01-02T09:00,-2.9,78,0,22.4,-9.1,33.1,3
2024-01-02T10:00,-1.3,73,0,24.9,-7.8,37.8,0
2024-01-02T11:00,0.4,69,0,27,-6.3,41,3
2024-01-02T12:00,1.4,67,0,27.1,-5.3,42.1,3
2024-01-02T13:00,1.9,65,0,26.8,-4.7,41.4,3
2024-01-02T14:00,2.1,66,0,23.9,-4,40.3,3
2024-01-02T15:00,2.1,69,0,21.4,-3.6,35.6,3
