Hour Slot,count,time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,apparent_temperature,windgusts_10m,weathercode
01/01/2024 00,462,2024-01-01T00:00,0.0,85.0,0.1,30.4,-6.9,44.3,71
01/01/2024 01,522,2024-01-01T01:00,0.1,86.0,0.1,30.1,-6.7,44.6,71
01/01/2024 02,490,2024-01-01T02:00,0.4,85.0,0.1,27.8,-6.1,43.6,71
01/01/2024 03,269,2024-01-01T03:00,0.2,85.0,0.0,25.4,-6.0,40.0,3
01/01/2024 04,150,2024-01-01T04:00,-0.3,85.0,0.0,23.1,-6.2,36.4,3
01/01/2024 05,115,2024-01-01T05:00,-1.1,86.0,0.0,23.4,-7.1,33.5,3
01/01/2024 06,126,2024-01-01T06:00,-1.5,86.0,0.0,23.4,-7.5,33.8,3
01/01/2024 07,117,2024-01-01T07:00,-1.4,81.0,0.0,20.9,-7.2,32.4,3
01/01/2024 08,161,2024-01-01T08:00,-1.9,80.0,0.0,18.3,-7.3,29.5,1
01/01/2024 09,257,2024-01-01T09:00,-1.7,78.0,0.0,16.1,-6.9,26.3,0
01/01/2024 10,324,2024-01-01T10:00,-0.9,73.0,0.0,14.5,-5.9,25.2,0
01/01/2024 11,458,2024-01-01T11:00,-0.2,67.0,0.0,13.3,-5.0,24.1,0
01/01/2024 12,503,2024-01-01T12:00,0.3,62.0,0.0,11.8,-4.3,23.4,1
01/01/2024 13,583,2024-01-01T13:00,1.0,60.0,0.0,14.5,-4.0,24.8,2
01/01/2024 14,587,2024-01-01T14:00,1.0,59.0,0.0,14.8,-4.1,25.2,0
01/01/2024 15,531,2024-01-01T15:00,0.7,58.0,0.0,14.4,-4.3,24.5,0
01/01/2024 16,570,2024-01-01T16:00,-0.3,66.0,0.0,13.3,-5.1,22.3,0
01/01/2024 17,580,2024-01-01T17:00,-1.7,72.0,0.0,12.4,-6.4,18.4,0
01/01/2024 18,543,2024-01-01T18:00,-2.6,75.0,0.0,11.4,-7.2,16.6,0
01/01/2024 19,586,2024-01-01T19:00,-2.1,72.0,0.0,12.9,-7.0,18.0,3
01/01/2024 20,621,2024-01-01T20:00,-2.2,73.0,0.0,16.1,-7.5,22.7,3
01/01/2024 21,408,2024-01-01T21:00,-2.7,75.0,0.0,17.4,-8.2,24.5,3
01/01/2024 22,322,2024-01-01T22:00,-3.0,76.0,0.0,18.1,-8.6,25.2,1
01/01/2024 23,226,2024-01-01T23:00,-3.5,77.0,0.0,17.9,-9.1,25.6,1
01/02/2024 00,215,2024-01-02T00:00,-4.0,79.0,0.0,18.9,-9.8,26.3,0
01/02/2024 01,110,2024-01-02T01:00,-4.5,81.0,0.0,17.6,-10.1,27.0,0
01/02/2024 02,47,2024-01-02T02:00,-4.8,82.0,0.0,16.9,-10.3,24.8,0
01/02/2024 03,36,2024-01-02T03:00,-5.0,83.0,0.0,16.3,-10.4,24.1,0
01/02/2024 04,53,2024-01-02T04:00,-5.0,84.0,0.0,16.9,-10.5,23.8,0
01/02/2024 05,136,2024-01-02T05:00,-4.9,85.0,0.0,17.6,-10.5,24.8,0
01/02/2024 06,294,2024-01-02T06:00,-4.9,86.0,0.0,17.4,-10.4,24.8,0
